Feature,Feature Description,When It Was Launched,Competitor,Use Case
Figma Make (Prompt-to-Prototype),"AI-driven tool that lets users create functional prototypes, web apps, and interactive UI through natural language prompts. Transforms ideas and existing Figma designs into working prototypes.",May 2025 (Config 2025); GA July 2025,Figma,Wireframing & Prototyping
Figma Make GA Expansion,"Figma Make rolled out to Starter plan and all seats on paid plans, broadening access to AI prototyping beyond full-seat users.",Late 2025,Figma,Wireframing & Prototyping
FigJam AI Template Generation,"Generate whiteboard templates for team syncs, brainstorms, retros, visual timelines, and org charts from simple natural language prompts.",November 2023; expanded through 2025,Figma (FigJam),Meetings & Workshops
FigJam AI Sort & Summarize Stickies,"AI automatically sorts and summarizes sticky notes on FigJam boards, helping teams organize brainstorming outputs and extract key themes.",November 2023; expanded through 2025,Figma (FigJam),Ideation & Brainstorming
FigJam AI Pre-built Prompts,"Access built-in prompts based on best practices and common use cases, or write custom prompts to generate structured whiteboard content.",2024-2025,Figma (FigJam),Ideation & Brainstorming
Mural AI Clustering,"Automatically groups sticky notes by shared content themes for research synthesis. Includes Preview Mode for reviewing and repositioning clusters before committing. Reduces manual affinity mapping from ~30 minutes to seconds.",January 2026,Mural,Research & Design
Mural AI Chat,"Conversational AI interface allowing teams to request idea generation, content refinement, translation, and clustering through natural language text prompts.",November 2024; expanded through 2025-2026,Mural,Ideation & Brainstorming
Mural AI Content Editing (Translate/Rewrite/Grammar),"AI-powered content editing features including translation, rewriting (concise, descriptive, professional), and grammar/spelling fixes accessible via the Explore with AI button.",January 2025,Mural,Meetings & Workshops
Mural AI Mind Maps,"Generate and visualize mind maps using AI to kickstart creative processes and brainstorming sessions.",2024-2025,Mural,Ideation & Brainstorming
Mural AI Understanding (Summarization),"Creates concise summaries of mural content to synthesize ideas and align teams after workshops or brainstorming sessions.",2024-2025,Mural,Meetings & Workshops
Mural AI Classification (Sentiment),"Categorizes sticky notes by sentiment (positive, neutral, negative) to gauge emotional context of feedback and brainstorming outputs.",2024-2025,Mural,Research & Design
Mural Microsoft 365 Copilot Integration,"Find murals and templates through Copilot; summarize mural content to quickly get up to speed on brainstorming and roadmap updates.",2025,Mural,Strategy & Planning
Lucid AI Diagram Auto-Generation,"Auto-generate flowcharts, mind maps, ERDs, class diagrams, sequence diagrams, and BPMN diagrams from natural language descriptions with assisted layout.",2024-2025,Lucidchart,Diagramming & Mapping
Lucid AI Assisted Layout,"All AI-generated diagrams automatically include assisted layout with shape drop zones, adjustable spacing, and shape-swapping capabilities.",March 2025,Lucidchart,Diagramming & Mapping
Lucid AI Diagram from Attachments,"Generate diagrams by attaching .txt, PDF, or image files to inform the AI, enabling conversion of documents into visual diagrams.",March 2025,Lucidchart,Diagramming & Mapping
Lucid AI Swimlanes,"AI-generated swimlane diagrams for process mapping and workflow visualization.",December 2025,Lucidchart,Diagramming & Mapping
Lucid Agentic AI Workflow Shape Library,"New shape library for designing agentic AI workflows with LLM and cloud application shapes, targeting teams building AI systems.",December 2025,Lucidchart,Diagramming & Mapping
Lucid AI MCP Server Enhancements,"MCP server updates enabling creating share links and collaborator document sharing for AI tool integration.",December 2025,Lucidchart,Diagramming & Mapping
Lucidspark AI Idea Generation & Sorting,"Generate and sort brainstorming ideas using AI, with AI-generated branching for mind maps.",2024-2025,Lucidspark,Ideation & Brainstorming
Lucidspark AI Summarization,"Summarize brainstorming sessions automatically to extract key insights and decisions.",2024-2025,Lucidspark,Ideation & Brainstorming
Microsoft Copilot in Whiteboard - Suggest,"Generates multiple suggestions as sticky notes based on natural language prompts to expand brainstorming sessions and overcome creative blocks.",2024-2025,Microsoft Whiteboard,Ideation & Brainstorming
Microsoft Copilot in Whiteboard - Categorize,"Automatically groups sticky notes under common themes with descriptive headers, organizing unstructured brainstorms for review and presentation.",2024-2025,Microsoft Whiteboard,Meetings & Workshops
Microsoft Copilot in Whiteboard - Summarize,"Creates Loop component summaries with bullet points of whiteboard ideas, shareable via email with links back to the original whiteboard.",2024-2025,Microsoft Whiteboard,Meetings & Workshops
